Parameter	Branch	Posterior Mean	Posterior Variance	a_post	b_post
1/delta	B512	0.912789	0.0217526	38.3028	41.9624
nu	B512	2.12935	0.0127485	355.66	167.027
M	B512	0.304833	0.000944911	98.3403	322.604
R/theta	B514	1.19464	0.0437208	32.6425	27.3242
1/delta	B514	0.806873	0.0199447	32.6425	40.4556
nu	B514	1.49989	0.00939634	239.42	159.625
M	B514	0.107122	0.000331836	34.5804	322.815
R/theta	B515	1.06656	0.0430624	26.4165	24.7679
1/delta	B515	1.15292	0.050318	26.4165	22.9127
nu	B515	1.79101	0.0243879	131.529	73.4386
M	B515	0.0906049	0.000278557	29.4706	325.265
R/theta	B516	1.50728	0.0685656	33.1346	21.983
1/delta	B516	1.47612	0.06576	33.1346	22.4471
nu	B516	1.35046	0.0189801	96.0869	71.1512
M	B516	0.0735041	0.000225937	23.9131	325.33
R/theta	B517	0.9353	0.0381194	22.9486	24.5361
1/delta	B517	1.25513	0.0686471	22.9486	18.2838
nu	B517	1.51869	0.0299558	76.9937	50.6976
M	B517	0.0890005	0.000273081	29.0063	325.912
R/theta	B518	0.854795	0.0424601	17.2085	20.1317
1/delta	B518	1.19267	0.082661	17.2085	14.4285
nu	B518	1.09531	0.0344906	34.7835	31.7568
M	B518	0.0619281	0.000189702	20.2165	326.45
R/theta	B519	0.829446	0.0294812	23.3363	28.1348
1/delta	B519	1.10865	0.0526696	23.3363	21.0492
nu	B519	0.914872	0.0142318	58.8113	64.2836
M	B519	0.11117	0.00034151	36.1887	325.526
R/theta	B520	0.707945	0.0376794	13.3013	18.7887
1/delta	B520	1.1516	0.0997025	13.3013	11.5503
nu	B520	1.27516	0.0723839	22.4641	17.6167
M	B520	0.0536508	0.000164144	17.5359	326.852
R/theta	B521	2.33188	0.0661181	82.2418	35.2684
1/delta	B521	0.684953	0.00570465	82.2419	120.069
nu	B521	0.876073	0.00159067	482.505	550.759
M	B521	0.162002	0.000519747	50.4953	311.695
R/theta	B522	0.820584	0.0189478	35.5375	43.3076
1/delta	B522	1.38059	0.0536341	35.5375	25.7409
nu	B522	1.1511	0.0131805	100.529	87.3333
M	B522	0.204608	0.000629814	66.471	324.87
R/theta	B523	0.985807	0.0423048	22.9717	23.3025
1/delta	B523	1.09834	0.0525141	22.9717	20.9151
nu	B523	0.934456	0.014687	59.4544	63.6246
M	B523	0.0815423	0.00025048	26.5456	325.544
R/theta	A909	1.38656	0.0253317	75.8945	54.7359
1/delta	A909	0.26469	0.000916206	76.4685	288.898
nu	A909	1.19935	0.000868966	1655.36	1380.21
M	A909	0.311133	0.0010799	89.6415	288.113
R/theta	COH1	1.92225	0.0889576	41.5374	21.6087
1/delta	COH1	1.32479	0.0422528	41.5374	31.3539
nu	COH1	1.2778	0.0111201	146.831	114.909
M	COH1	0.0714898	0.000220589	23.1689	324.086
R/theta	NODE_257	0.768748	0.0442642	13.3511	17.3673
1/delta	NODE_257	1.19398	0.106778	13.3511	11.182
nu	NODE_257	0.967946	0.0612356	15.3003	15.8069
M	NODE_257	0.0449666	0.000137553	14.6997	326.904
R/theta	NODE_258	0.802929	0.0438752	14.6938	18.3003
1/delta	NODE_258	1.08977	0.0808234	14.6939	13.4834
nu	NODE_258	0.901321	0.0332423	24.4381	27.1136
M	NODE_258	0.0507129	0.000155284	16.5619	326.582
R/theta	NODE_259	1.7052	0.0598878	48.5525	28.4732
1/delta	NODE_259	1.60507	0.0530611	48.5525	30.2495
nu	NODE_259	1.05158	0.00960495	115.131	109.484
M	NODE_259	0.113708	0.00035069	36.8687	324.24
R/theta	NODE_260	0.782332	0.0333085	18.375	23.4875
1/delta	NODE_260	1.34771	0.0988479	18.375	13.6342
nu	NODE_260	0.936573	0.0336236	26.0879	27.8546
M	NODE_260	0.0824106	0.000252359	26.9121	326.561
R/theta	NODE_261	0.704401	0.0405604	12.2331	17.3667
1/delta	NODE_261	1.12429	0.103329	12.2331	10.8807
nu	NODE_261	0.928413	0.0648014	13.3014	14.3271
M	NODE_261	0.0449572	0.000137507	14.6986	326.946
R/theta	NODE_262	0.673277	0.028019	16.1783	24.0293
1/delta	NODE_262	1.28147	0.101504	16.1784	12.6248
nu	NODE_262	0.830169	0.0362589	19.0072	22.8956
M	NODE_262	0.0856829	0.000262266	27.9928	326.702
R/theta	NODE_263	0.824171	0.0390241	17.4061	21.1195
1/delta	NODE_263	1.13988	0.0746476	17.4061	15.2701
nu	NODE_263	0.551999	0.0153795	19.8123	35.8918
M	NODE_263	0.0679912	0.000208349	22.1877	326.333
R/theta	NODE_264	0.850935	0.038783	18.6703	21.9409
1/delta	NODE_264	0.752609	0.030338	18.6703	24.8075
nu	NODE_264	1.10179	0.0133151	91.1702	82.7473
M	NODE_264	0.0733224	0.000225607	23.8298	325.001
R/theta	NODE_265	0.067056	4.70934e-05	95.4806	1423.89
1/delta	NODE_265	0.0521169	2.84473e-05	95.4806	1832.05
nu	NODE_265	0.0115102	1.28437e-06	103.151	8961.74
M	NODE_265	43.7097	0.602342	3171.85	72.5663
R/theta	NODE_266	1.94455	0.0497043	76.0753	39.1223
1/delta	NODE_266	0.407746	0.00218542	76.0753	186.575
nu	NODE_266	1.24986	0.00142435	1096.74	877.494
M	NODE_266	0.192642	0.000637033	58.2561	302.406
R/theta	NODE_267	0.585904	0.0181273	18.9373	32.3216
1/delta	NODE_267	0.155387	0.00127593	18.9237	121.784
nu	NODE_267	1.39917	0.00250216	782.392	559.184
M	NODE_267	0.143223	0.000459851	44.6075	311.455
R/theta	NODE_268	0.679758	0.0371461	12.4393	18.2996
1/delta	NODE_268	1.14787	0.105922	12.4393	10.8369
nu	NODE_268	0.952416	0.0674917	13.4401	14.1116
M	NODE_268	0.0506493	0.000154914	16.5599	326.952
R/theta	NODE_269	1.1057	0.0216965	56.3492	50.9623
1/delta	NODE_269	0.626818	0.00697261	56.3492	89.8972
nu	NODE_269	0.783003	0.00194522	315.179	402.526
M	NODE_269	0.259002	0.000819861	81.821	315.909
R/theta	NODE_270	0.880145	0.0424721	18.2392	20.7229
1/delta	NODE_270	1.25764	0.0867182	18.2392	14.5026
nu	NODE_270	1.20182	0.0374154	38.6039	32.1211
M	NODE_270	0.0655438	0.000200784	21.3961	326.44
R/theta	NODE_271	0.859772	0.0385173	19.1916	22.3217
1/delta	NODE_271	0.980188	0.0500619	19.1916	19.5795
nu	NODE_271	0.497902	0.00872542	28.412	57.0634
M	NODE_271	0.0754858	0.000231743	24.588	325.731
R/theta	NODE_272	1.70457	0.0479064	60.6506	35.5812
1/delta	NODE_272	0.796118	0.0104501	60.6506	76.1829
nu	NODE_272	1.0709	0.0031953	358.912	335.149
M	NODE_272	0.160742	0.000505756	51.0877	317.825
R/theta	NODE_273	0.921355	0.0351112	24.1774	26.2411
1/delta	NODE_273	0.916088	0.0347109	24.1774	26.392
nu	NODE_273	0.625058	0.00690427	56.5878	90.5321
M	NODE_273	0.0997975	0.000307278	32.4122	324.779
R/theta	NODE_274	0.819806	0.0471981	14.2396	17.3695
1/delta	NODE_274	1.18698	0.0989436	14.2396	11.9965
nu	NODE_274	1.17604	0.0593697	23.2957	19.8087
M	NODE_274	0.0449961	0.000137691	14.7043	326.79
R/theta	NODE_275	1.39829	0.0493812	39.5943	28.3162
1/delta	NODE_275	0.617863	0.00964165	39.5943	64.0827
nu	NODE_275	1.14409	0.00414972	315.427	275.702
M	NODE_275	0.114463	0.000358241	36.5727	319.515
R/theta	NODE_276	1.59325	0.0656414	38.6715	24.2721
1/delta	NODE_276	0.802109	0.016637	38.6715	48.2123
nu	NODE_276	0.568993	0.00287758	112.509	197.733
M	NODE_276	0.0885557	0.000275247	28.4912	321.732
R/theta	NODE_277	0.659662	0.0325543	13.367	20.2634
1/delta	NODE_277	1.14999	0.0989352	13.367	11.6236
nu	NODE_277	1.41969	0.0789736	25.5215	17.9768
M	NODE_277	0.0626557	0.0001917	20.4785	326.842
R/theta	NODE_278	1.59244	0.0667933	37.9658	23.8413
1/delta	NODE_278	1.26164	0.0419256	37.9658	30.0924
nu	NODE_278	1.86158	0.0171241	202.376	108.712
M	NODE_278	0.0851912	0.000262723	27.6243	324.262
R/theta	NODE_279	0.803399	0.0391861	16.4714	20.5022
1/delta	NODE_279	1.24396	0.0939468	16.4714	13.2411
nu	NODE_279	0.734654	0.0283394	19.0447	25.9234
M	NODE_279	0.0641588	0.000196435	20.9553	326.616
R/theta	NODE_280	1.84322	0.0628087	54.0923	29.3466
1/delta	NODE_280	1.17935	0.0257129	54.0923	45.8661
nu	NODE_280	1.04389	0.00560611	194.38	186.206
M	NODE_280	0.119916	0.000372343	38.6202	322.059
R/theta	NODE_281	0.938832	0.0380645	23.1556	24.6642
1/delta	NODE_281	0.882446	0.0336295	23.1556	26.2402
nu	NODE_281	0.487097	0.00542506	43.7348	89.7866
M	NODE_281	0.090102	0.000277407	29.2652	324.8
R/theta	NODE_282	0.798222	0.0424084	15.0243	18.8223
1/delta	NODE_282	1.25178	0.104294	15.0244	12.0024
nu	NODE_282	0.82656	0.0416664	16.3969	19.8376
M	NODE_282	0.0538667	0.000164836	17.6031	326.789
R/theta	NODE_283	0.329564	0.00323223	33.603	101.962
1/delta	NODE_283	1.00028	0.029776	33.603	33.5935
nu	NODE_283	1.63967	0.0130223	206.455	125.912
M	NODE_283	0.566894	0.0017509	183.545	323.773
R/theta	NODE_284	0.895488	0.0464333	17.2699	19.2855
1/delta	NODE_284	1.18001	0.0806277	17.2699	14.6353
nu	NODE_284	0.746713	0.0227843	24.4721	32.7731
M	NODE_284	0.0567608	0.000173888	18.5279	326.421
R/theta	NODE_285	0.752013	0.042191	13.4039	17.824
1/delta	NODE_285	1.13994	0.0969466	13.4039	11.7584
nu	NODE_285	0.986577	0.0529307	18.3888	18.639
M	NODE_285	0.0477664	0.000146154	15.6112	326.823
R/theta	NODE_286	0.597223	0.030973	11.5157	19.2821
1/delta	NODE_286	1.1056	0.106146	11.5157	10.4158
nu	NODE_286	0.870214	0.0722593	10.4799	12.0429
M	NODE_286	0.0566344	0.000173188	18.5201	327.011
R/theta	NODE_287	1.15759	0.0535837	25.0081	21.6035
1/delta	NODE_287	0.693625	0.0192384	25.0081	36.0542
nu	NODE_287	0.520574	0.00377224	71.84	138.001
M	NODE_287	0.0716076	0.000221401	23.16	323.43
R/theta	NODE_288	1.05897	0.044229	25.3549	23.9429
1/delta	NODE_288	0.993943	0.0389638	25.3549	25.5094
nu	NODE_288	0.674909	0.00782991	58.1746	86.1962
M	NODE_288	0.0856424	0.000263594	27.8254	324.903
R/theta	NODE_289	0.751529	0.0363575	15.5345	20.6705
1/delta	NODE_289	1.29678	0.108252	15.5345	11.9793
nu	NODE_289	0.847139	0.0429493	16.7091	19.7241
M	NODE_289	0.0651512	0.000199366	21.2909	326.792
R/theta	NODE_290	0.784167	0.0464668	13.2335	16.8759
1/delta	NODE_290	1.16566	0.102677	13.2335	11.3527
nu	NODE_290	0.978059	0.0587566	16.2807	16.6459
M	NODE_290	0.0419704	0.000128397	13.7193	326.88
R/theta	NODE_291	0.727611	0.0329493	16.0677	22.0828
1/delta	NODE_291	1.22291	0.0930756	16.0677	13.1389
nu	NODE_291	0.743117	0.0292322	18.8909	25.4212
M	NODE_291	0.0738116	0.000225979	24.1091	326.63
R/theta	NODE_292	0.715429	0.0380395	13.4554	18.8075
1/delta	NODE_292	1.16652	0.101131	13.4554	11.5347
nu	NODE_292	1.10755	0.0631442	19.4265	17.54
M	NODE_292	0.0537656	0.000164494	17.5735	326.854
R/theta	NODE_293	1.05133	0.026102	42.3448	40.2776
1/delta	NODE_293	1.22805	0.0356146	42.3448	34.4815
nu	NODE_293	1.19416	0.00916642	155.569	130.275
M	NODE_293	0.186718	0.000576916	60.4313	323.649
R/theta	NODE_294	0.896336	0.0119788	67.0697	74.8266
1/delta	NODE_294	0.316821	0.00149658	67.0697	211.696
nu	NODE_294	1.45395	0.00145263	1455.27	1000.91
M	NODE_294	0.434032	0.00145211	129.731	298.897
R/theta	NODE_295	0.643262	0.0171811	24.0838	37.4401
1/delta	NODE_295	1.13491	0.0534809	24.0838	21.2209
nu	NODE_295	0.894279	0.0137313	58.2419	65.1272
M	NODE_295	0.168227	0.000516824	54.7581	325.502
R/theta	NODE_296	0.92653	0.0187506	45.7828	49.4132
1/delta	NODE_296	1.33309	0.0388167	45.7829	34.3433
nu	NODE_296	1.49183	0.0115114	193.335	129.596
M	NODE_296	0.243042	0.000750898	78.6651	323.669
R/theta	NODE_297	1.32915	0.0368393	47.9552	36.0796
1/delta	NODE_297	0.226328	0.00106817	47.9552	211.883
nu	NODE_297	1.28845	0.0012861	1290.81	1001.83
M	NODE_297	0.174626	0.000584287	52.1906	298.871
R/theta	NODE_298	0.720294	0.0299295	17.3348	24.0663
1/delta	NODE_298	1.31938	0.100421	17.3348	13.1386
nu	NODE_298	0.86284	0.0339439	21.933	25.4196
M	NODE_298	0.0859288	0.000263076	28.067	326.63
R/theta	NODE_299	2.86405	0.0830273	98.796	34.4952
1/delta	NODE_299	0.471739	0.0022525	98.796	209.429
nu	NODE_299	1.28614	0.00129943	1272.98	989.772
M	NODE_299	0.163823	0.000547512	49.018	299.213
R/theta	NODE_300	0.504544	0.0201656	12.6237	25.02
1/delta	NODE_300	1.16855	0.10817	12.6237	10.8029
nu	NODE_300	0.791051	0.0567275	11.031	13.9448
M	NODE_300	0.0916604	0.000280344	29.969	326.957
R/theta	NODE_301	1.05615	0.0408478	27.3077	25.8558
1/delta	NODE_301	0.883521	0.0285857	27.3077	30.9078
nu	NODE_301	1.02339	0.00907925	115.355	112.718
M	NODE_301	0.0976258	0.000301176	31.6453	324.149
R/theta	NODE_302	1.27821	0.0497629	32.8321	25.686
1/delta	NODE_302	1.30726	0.0520509	32.8321	25.1151
nu	NODE_302	0.981452	0.011648	82.6962	84.259
M	NODE_302	0.096332	0.000296445	31.3038	324.958
R/theta	NODE_303	0.704358	0.0182319	27.2117	38.6333
1/delta	NODE_303	1.32737	0.064748	27.2117	20.5005
nu	NODE_303	0.61475	0.00998162	37.8614	61.5882
M	NODE_303	0.175486	0.000538958	57.1386	325.602
R/theta	NODE_304	1.75415	0.0653505	47.0851	26.8422
1/delta	NODE_304	0.823217	0.0143928	47.0851	57.1965
nu	NODE_304	1.45687	0.00602333	352.374	241.871
M	NODE_304	0.104925	0.000327403	33.626	320.477
R/theta	NODE_305	0.678176	0.0425129	10.8184	15.9522
1/delta	NODE_305	1.06121	0.104098	10.8184	10.1944
nu	NODE_305	0.924125	0.084356	10.1238	10.9551
M	NODE_305	0.0363139	0.000111038	11.8762	327.042
R/theta	NODE_306	0.664902	0.0404773	10.922	16.4265
1/delta	NODE_306	1.06805	0.104443	10.922	10.2262
nu	NODE_306	0.915962	0.082436	10.1774	11.1112
M	NODE_306	0.0392083	0.000119889	12.8226	327.037
R/theta	NODE_307	0.609667	0.0324461	11.4557	18.7901
1/delta	NODE_307	1.10186	0.105981	11.4557	10.3967
nu	NODE_307	0.875489	0.0732672	10.4614	11.9493
M	NODE_307	0.0536325	0.000164007	17.5386	327.013
R/theta	NODE_308	0.640706	0.0368776	11.1315	17.3738
1/delta	NODE_308	1.08159	0.105093	11.1315	10.2918
nu	NODE_308	0.899746	0.0786933	10.2873	11.4336
M	NODE_308	0.0449891	0.000137569	14.7127	327.028
R/theta	NODE_309	0.754886	0.047336	12.0385	15.9474
1/delta	NODE_309	1.05509	0.0924721	12.0385	11.4099
nu	NODE_309	0.7759	0.0458393	13.1333	16.9265
M	NODE_309	0.0363039	0.000111065	11.8667	326.872
R/theta	NODE_310	0.679996	0.0371497	12.4468	18.3042
1/delta	NODE_310	1.11591	0.100047	12.4468	11.1539
nu	NODE_310	0.920981	0.0587774	14.4308	15.669
M	NODE_310	0.0506845	0.000155042	16.5692	326.908
R/theta	NODE_311	1.15094	0.0423586	31.2728	27.1714
1/delta	NODE_311	1.45525	0.0677189	31.2728	21.4896
nu	NODE_311	1.60629	0.0241739	106.733	66.4472
M	NODE_311	0.105285	0.000323492	34.2665	325.464
R/theta	NODE_312	0.753439	0.047236	12.0178	15.9505
1/delta	NODE_312	1.05948	0.0934034	12.0178	11.3431
nu	NODE_312	0.790862	0.047647	13.127	16.5984
M	NODE_312	0.0363219	0.000111117	11.873	326.881
R/theta	NODE_313	0.69748	0.0345791	14.0686	20.1706
1/delta	NODE_313	1.11364	0.0881543	14.0686	12.6329
nu	NODE_313	0.859223	0.037463	19.7065	22.9353
M	NODE_313	0.0621164	0.000190132	20.2935	326.701
R/theta	NODE_314	0.754235	0.0472849	12.0307	15.9509
1/delta	NODE_314	1.05472	0.0924667	12.0307	11.4065
nu	NODE_314	0.776241	0.0459039	13.1263	16.9101
M	NODE_314	0.0363251	0.000111129	11.8737	326.872
R/theta	NODE_315	0.86559	0.0316426	23.6784	27.3552
1/delta	NODE_315	1.15327	0.0561709	23.6784	20.5315
nu	NODE_315	1.91719	0.0310526	118.367	61.74
M	NODE_315	0.106367	0.000326681	34.6328	325.598
R/theta	NODE_316	0.776399	0.0459059	13.1311	16.9128
1/delta	NODE_316	1.08137	0.0890528	13.1311	12.143
nu	NODE_316	0.984327	0.0479492	20.2068	20.5285
M	NODE_316	0.0422108	0.000129176	13.7932	326.77
R/theta	NODE_317	0.719699	0.0425043	12.1862	16.9324
1/delta	NODE_317	1.11884	0.102722	12.1862	10.8919
nu	NODE_317	0.846076	0.0588299	12.168	14.3817
M	NODE_317	0.0423068	0.000129401	13.832	326.944
R/theta	NODE_318	0.664832	0.0404721	10.9212	16.4269
1/delta	NODE_318	1.068	0.104442	10.9212	10.2258
nu	NODE_318	0.916038	0.082456	10.1767	11.1094
M	NODE_318	0.0392106	0.000119897	12.8233	327.037
R/theta	NODE_319	0.616265	0.0298513	12.7225	20.6445
1/delta	NODE_319	1.12445	0.0993813	12.7225	11.3145
nu	NODE_319	1.01843	0.0618811	16.7612	16.4579
M	NODE_319	0.0649732	0.000198765	21.2388	326.885
R/theta	NODE_320	0.599594	0.0311203	11.5524	19.267
1/delta	NODE_320	1.1078	0.106232	11.5524	10.4282
nu	NODE_320	0.868337	0.071742	10.51	12.1036
M	NODE_320	0.0565427	0.000172909	18.49	327.009
R/theta	NODE_321	1.04196	0.0324839	33.4224	32.0764
1/delta	NODE_321	0.989458	0.0292925	33.4224	33.7785
nu	NODE_321	1.4898	0.0117472	188.938	126.821
M	NODE_321	0.1361	0.000420389	44.062	323.748
R/theta	NODE_322	0.726667	0.0442319	11.9381	16.4285
1/delta	NODE_322	1.02866	0.0886359	11.9381	11.6055
nu	NODE_322	0.960066	0.0536724	17.1732	17.8875
M	NODE_322	0.0392444	0.00012007	12.8268	326.845
R/theta	NODE_323	0.640777	0.0368825	11.1325	17.3735
1/delta	NODE_323	1.08163	0.105091	11.1325	10.2923
nu	NODE_323	0.899612	0.0786638	10.2881	11.4362
M	NODE_323	0.0449867	0.000137562	14.7119	327.028
R/theta	NODE_324	0.7195	0.0425641	12.1624	16.9039
1/delta	NODE_324	1.13515	0.105947	12.1624	10.7143
nu	NODE_324	0.90492	0.0669847	12.2249	13.5094
M	NODE_324	0.0421297	0.000128849	13.7751	326.969
R/theta	NODE_325	0.446425	0.0123704	16.1107	36.0882
1/delta	NODE_325	1.32076	0.108276	16.1107	12.1981
nu	NODE_325	0.670512	0.0322374	13.9461	20.7992
M	NODE_325	0.159302	0.000487518	52.0539	326.762
R/theta	NODE_326	0.728939	0.0398229	13.3429	18.3045
1/delta	NODE_326	1.17948	0.104264	13.3429	11.3125
nu	NODE_326	1.1813	0.0718192	19.4302	16.4482
M	NODE_326	0.0506899	0.000155069	16.5698	326.886
R/theta	NODE_327	0.670225	0.0357095	12.5793	18.7688
1/delta	NODE_327	1.1507	0.10526	12.5793	10.9319
nu	NODE_327	0.926279	0.0635369	13.5038	14.5786
M	NODE_327	0.0535151	0.000163686	17.4962	326.939
R/theta	NODE_328	0.890307	0.0410878	19.2915	21.6684
1/delta	NODE_328	1.19316	0.0737956	19.2915	16.1684
nu	NODE_328	1.48163	0.0367605	59.7168	40.3049
M	NODE_328	0.0713755	0.000218804	23.2832	326.207
R/theta	NODE_329	0.703112	0.0402257	12.2898	17.4792
1/delta	NODE_329	1.10556	0.0994538	12.2898	11.1163
nu	NODE_329	0.779941	0.050369	12.077	15.4845
M	NODE_329	0.0456481	0.000139634	14.923	326.913
R/theta	NODE_330	0.0836972	5.02206e-05	139.489	1666.59
1/delta	NODE_330	0.0800299	4.59978e-05	139.241	1739.86
nu	NODE_330	0.0553411	6.50408e-06	470.88	8508.68
M	NODE_330	42.4721	0.497057	3629.12	85.4471
R/theta	NODE_331	1.30959	0.0660145	25.9795	19.8379
1/delta	NODE_331	1.2714	0.06222	25.9795	20.4339
nu	NODE_331	1.31191	0.0214153	80.3682	61.2605
M	NODE_331	0.0602922	0.000185166	19.6318	325.612
R/theta	NODE_332	0.740094	0.0450497	12.1586	16.4284
1/delta	NODE_332	1.06323	0.0929763	12.1586	11.4355
nu	NODE_332	0.772526	0.0453028	13.1735	17.0525
M	NODE_332	0.0392405	0.00012005	12.8265	326.868
R/theta	NODE_333	0.908143	0.0340279	24.2367	26.6882
1/delta	NODE_333	1.22323	0.0617369	24.2367	19.8136
nu	NODE_333	1.24883	0.0214526	72.6986	58.2134
M	NODE_333	0.102246	0.000313929	33.3014	325.698
R/theta	NODE_334	0.675744	0.0349743	13.0562	19.3212
1/delta	NODE_334	1.04692	0.0839489	13.0562	12.471
nu	NODE_334	1.599	0.0722236	35.4014	22.1396
M	NODE_334	0.0569247	0.000174229	18.5986	326.724
R/theta	NODE_335	0.707827	0.0418715	11.9656	16.9047
1/delta	NODE_335	1.00206	0.0839165	11.9656	11.9411
nu	NODE_335	1.03514	0.0529851	20.223	19.5364
M	NODE_335	0.0421576	0.000129002	13.777	326.798
R/theta	NODE_336	0.713752	0.0336006	15.1617	21.2423
1/delta	NODE_336	1.15587	0.0881187	15.1617	13.1172
nu	NODE_336	0.970516	0.0383385	24.568	25.3144
M	NODE_336	0.0686763	0.000210255	22.432	326.633
R/theta	NODE_337	0.708748	0.0377074	13.3216	18.796
1/delta	NODE_337	1.08499	0.0883678	13.3216	12.2781
nu	NODE_337	1.20088	0.0566662	25.4493	21.1922
M	NODE_337	0.0537129	0.000164385	17.5507	326.751
R/theta	NODE_338	0.780739	0.0404742	15.0603	19.2898
1/delta	NODE_338	1.05317	0.073649	15.0603	14.2999
nu	NODE_338	0.785974	0.0252521	24.4635	31.1251
M	NODE_338	0.0567789	0.000173918	18.5365	326.468
R/theta	NODE_339	0.73033	0.044487	11.9896	16.4167
1/delta	NODE_339	1.12105	0.10482	11.9896	10.695
nu	NODE_339	0.983794	0.0733386	13.197	13.4144
M	NODE_339	0.0391562	0.000119754	12.803	326.972
R/theta	NODE_340	0.716643	0.0424334	12.1031	16.8887
1/delta	NODE_340	1.1292	0.105352	12.1031	10.7184
nu	NODE_340	0.979747	0.0724167	13.2553	13.5293
M	NODE_340	0.0420368	0.000128565	13.7447	326.969
R/theta	NODE_341	0.591555	0.0267279	13.0925	22.1324
1/delta	NODE_341	1.0933	0.0912963	13.0925	11.9753
nu	NODE_341	0.902955	0.045825	17.7922	19.7044
M	NODE_341	0.0740769	0.000226678	24.2078	326.793
R/theta	NODE_342	1.77722	0.038609	81.8074	46.0311
1/delta	NODE_342	1.02728	0.0128999	81.8074	79.635
nu	NODE_342	1.52237	0.00432357	536.039	352.109
M	NODE_342	0.22676	0.000714558	71.9605	317.343
R/theta	NODE_343	2.70944	0.0816585	89.8996	33.1802
1/delta	NODE_343	1.36187	0.0206306	89.8997	66.0121
nu	NODE_343	1.27187	0.00445987	362.714	285.181
M	NODE_343	0.144985	0.00045415	46.2859	319.245
R/theta	NODE_344	0.633349	0.0283803	14.1342	22.3165
1/delta	NODE_344	0.982449	0.0682889	14.1342	14.3867
nu	NODE_344	0.774108	0.0245349	24.4241	31.5513
M	NODE_344	0.0752809	0.0002306	24.5759	326.456
R/theta	NODE_345	0.682681	0.0169557	27.4865	40.2626
1/delta	NODE_345	1.36867	0.0681515	27.4865	20.0827
nu	NODE_345	1.27001	0.0213321	75.6106	59.5353
M	NODE_345	0.185437	0.000569417	60.3894	325.661
R/theta	NODE_346	0.80195	0.033158	19.3957	24.1857
1/delta	NODE_346	1.0031	0.0518779	19.3957	19.3358
nu	NODE_346	1.2833	0.0229712	71.6925	55.8656
M	NODE_346	0.0868954	0.000266743	28.3075	325.765
R/theta	NODE_347	1.18837	0.0616961	22.89	19.2617
1/delta	NODE_347	1.13027	0.0558108	22.8901	20.2518
nu	NODE_347	1.63201	0.0270352	98.5181	60.3661
M	NODE_347	0.0567562	0.000174293	18.4819	325.637
R/theta	NODE_348	0.734054	0.0391011	13.7805	18.7732
1/delta	NODE_348	1.04755	0.0796308	13.7806	13.1551
nu	NODE_348	0.842906	0.0330544	21.4946	25.5005
M	NODE_348	0.0535944	0.000164084	17.5054	326.628
R/theta	NODE_349	0.636271	0.0236761	17.0991	26.874
1/delta	NODE_349	1.35252	0.106982	17.0991	12.6424
nu	NODE_349	0.754111	0.0328129	17.3311	22.9822
M	NODE_349	0.103058	0.00031545	33.6689	326.7
R/theta	NODE_350	0.961879	0.0422151	21.9166	22.7852
1/delta	NODE_350	1.261	0.0725535	21.9166	17.3803
nu	NODE_350	1.35083	0.0292017	62.4878	46.2587
M	NODE_350	0.078249	0.00024	25.5122	326.038
R/theta	NODE_351	0.854367	0.0371989	19.6227	22.9675
1/delta	NODE_351	1.38854	0.0982562	19.6227	14.1319
nu	NODE_351	0.928242	0.0306356	28.1252	30.2995
M	NODE_351	0.0792509	0.000242735	25.8748	326.492
R/theta	NODE_352	0.602267	0.0284001	12.772	21.2065
1/delta	NODE_352	1.1042	0.095463	12.772	11.5668
nu	NODE_352	0.996745	0.0563215	17.6398	17.6974
M	NODE_352	0.0684112	0.000209305	22.3602	326.85
R/theta	NODE_353	0.801912	0.0438043	14.6804	18.3067
1/delta	NODE_353	1.22336	0.101946	14.6804	12
nu	NODE_353	0.979802	0.0494198	19.4257	19.8261
M	NODE_353	0.0507187	0.000155203	16.5743	326.79
R/theta	NODE_354	0.568748	0.0100408	32.2159	56.6435
1/delta	NODE_354	1.00567	0.0313936	32.2159	32.0342
nu	NODE_354	1.46219	0.0123651	172.907	118.252
M	NODE_354	0.287332	0.000886851	93.093	323.991
R/theta	NODE_355	0.906855	0.0337102	24.3958	26.9015
1/delta	NODE_355	1.08986	0.0486886	24.3958	22.3843
nu	NODE_355	1.47188	0.0207767	104.272	70.8427
M	NODE_355	0.103671	0.000318656	33.7283	325.339
R/theta	NODE_356	0.870213	0.0544559	13.9061	15.9802
1/delta	NODE_356	0.941183	0.0637003	13.9061	14.7752
nu	NODE_356	1.67566	0.0500797	56.0674	33.4599
M	NODE_356	0.0365581	0.000112003	11.9326	326.402
R/theta	NODE_357	0.668721	0.0322457	13.8681	20.7383
1/delta	NODE_357	1.05775	0.0806768	13.8681	13.111
nu	NODE_357	0.971906	0.0384397	24.5736	25.2839
M	NODE_357	0.0655975	0.000200829	21.4264	326.634
R/theta	NODE_358	0.648496	0.0328206	12.8135	19.7588
1/delta	NODE_358	1.17258	0.107304	12.8135	10.9276
nu	NODE_358	0.860629	0.0591194	12.5286	14.5575
M	NODE_358	0.0595566	0.000182164	19.4714	326.939
R/theta	NODE_359	0.686188	0.0113954	41.3195	60.216
1/delta	NODE_359	1.04812	0.026587	41.3195	39.4223
nu	NODE_359	1.73257	0.0112105	267.767	154.549
M	NODE_359	0.310359	0.000960985	100.233	322.959
R/theta	NODE_360	0.751377	0.0456053	12.3794	16.4756
1/delta	NODE_360	0.882596	0.062925	12.3794	14.0262
nu	NODE_360	2.42037	0.0812751	72.0788	29.78
